iter	Passed	Remaining
0	1	1838
1	3	1615
2	4	1455
3	5	1382
4	6	1324
5	7	1284
6	8	1254
7	9	1234
8	11	1231
9	12	1239
10	14	1260
11	15	1274
12	16	1276
13	18	1271
14	19	1272
15	20	1269
16	22	1282
17	23	1291
18	25	1291
19	26	1286
20	39	1818
21	40	1791
22	41	1768
23	43	1756
24	44	1748
25	46	1728
26	47	1704
27	48	1688
28	49	1669
29	51	1651
30	52	1638
31	53	1628
32	55	1619
33	56	1606
34	58	1599
35	59	1590
36	60	1577
37	62	1573
38	63	1561
39	64	1556
40	67	1583
41	69	1574
42	70	1566
43	71	1558
44	72	1549
45	74	1541
46	75	1531
47	76	1526
48	78	1517
49	79	1513
50	80	1505
51	82	1500
52	83	1490
53	84	1486
54	86	1478
55	87	1470
56	88	1466
57	90	1471
58	91	1465
59	93	1459
60	94	1451
61	95	1443
62	97	1443
63	98	1440
64	100	1441
65	101	1436
66	102	1433
67	104	1430
68	107	1452
69	109	1448
70	110	1442
71	111	1437
72	113	1436
73	114	1431
74	115	1428
75	117	1423
76	118	1418
77	119	1415
78	120	1410
79	122	1405
80	123	1401
81	124	1398
82	126	1397
83	127	1393
84	129	1388
85	130	1385
86	132	1389
87	133	1383
88	134	1380
89	136	1375
90	137	1373
91	138	1368
92	139	1364
93	141	1360
94	142	1357
95	143	1352
96	145	1355
97	147	1353
98	148	1350
99	149	1346
100	151	1346
101	152	1343
102	153	1341
103	155	1338
104	156	1334
105	157	1330
106	159	1329
107	160	1325
108	162	1324
109	163	1321
110	164	1319
111	165	1316
112	167	1314
113	168	1311
114	169	1308
115	171	1305
116	172	1302
117	173	1299
118	174	1295
119	176	1292
120	177	1288
121	178	1287
122	180	1287
123	181	1284
124	183	1282
125	187	1298
126	188	1295
127	190	1300
128	192	1297
129	193	1295
130	194	1291
131	195	1288
132	197	1286
133	198	1284
134	200	1282
135	201	1279
136	202	1276
137	204	1274
138	205	1272
139	206	1269
140	207	1267
141	209	1263
142	210	1261
143	211	1259
144	213	1256
145	214	1255
146	215	1252
147	217	1249
148	218	1248
149	219	1246
150	221	1244
151	222	1242
152	223	1239
153	225	1237
154	226	1234
155	227	1232
156	229	1229
157	230	1226
158	231	1224
159	232	1223
160	234	1221
161	235	1219
162	236	1216
163	238	1214
164	239	1212
165	240	1210
166	242	1207
167	243	1205
168	244	1204
169	246	1202
170	247	1200
171	249	1203
172	251	1201
173	252	1198
174	253	1196
175	254	1193
176	256	1191
177	257	1190
178	259	1188
179	260	1186
180	261	1185
181	263	1183
182	264	1180
183	266	1181
184	267	1179
185	268	1176
186	270	1175
187	271	1172
188	272	1171
189	274	1169
190	275	1167
191	276	1164
192	277	1162
193	279	1160
194	280	1158
195	282	1157
196	283	1155
197	284	1153
198	286	1151
199	288	1152
200	289	1151
201	291	1149
202	292	1148
203	293	1145
204	295	1144
205	296	1142
206	297	1140
207	299	1139
208	303	1149
209	305	1148
210	306	1146
211	307	1144
212	309	1141
213	310	1140
214	311	1139
215	313	1137
216	314	1134
217	315	1133
218	317	1130
219	318	1128
220	319	1126
221	321	1125
222	322	1123
223	323	1120
224	324	1118
225	325	1116
226	327	1114
227	328	1112
228	329	1110
229	331	1108
230	332	1106
231	333	1104
232	335	1104
233	336	1103
234	338	1101
235	339	1099
236	341	1097
237	342	1096
238	343	1094
239	344	1092
240	346	1090
241	348	1090
242	349	1089
243	351	1087
244	352	1086
245	353	1084
246	355	1082
247	356	1081
248	358	1081
249	359	1079
250	361	1077
251	362	1076
252	363	1074
253	365	1072
254	366	1070
255	367	1069
256	369	1067
257	370	1066
258	371	1063
259	373	1062
260	374	1060
261	375	1059
262	377	1056
263	382	1066
264	384	1065
265	385	1063
266	386	1062
267	388	1059
268	389	1057
269	390	1056
270	391	1054
271	393	1052
272	394	1050
273	395	1048
274	397	1046
275	398	1044
276	399	1043
277	401	1041
278	402	1039
279	403	1037
280	404	1036
281	406	1034
282	407	1033
283	409	1031
284	410	1029
285	411	1027
286	412	1025
287	414	1024
288	415	1022
289	416	1020
290	418	1018
291	420	1019
292	422	1018
293	423	1016
294	424	1014
295	426	1013
296	427	1011
297	428	1010
298	429	1007
299	431	1007
300	433	1005
301	434	1003
302	435	1001
303	436	999
304	437	997
305	438	995
306	440	993
307	441	992
308	443	991
309	444	989
310	445	988
311	447	986
312	448	984
313	449	983
314	451	981
315	453	980
316	454	978
317	455	976
318	456	975
319	458	973
320	459	971
321	460	969
322	461	968
323	463	967
324	464	964
325	466	963
326	467	962
327	468	960
328	470	958
329	471	957
330	472	955
331	474	954
332	475	952
333	477	951
334	478	949
335	479	948
336	480	946
337	482	944
338	483	942
339	484	941
340	486	939
341	487	938
342	488	936
343	490	935
344	491	933
345	492	931
346	494	929
347	495	929
348	497	927
349	499	928
350	501	926
351	502	924
352	503	922
353	504	921
354	506	919
355	507	918
356	508	916
357	510	914
358	511	913
359	512	911
360	514	910
361	515	908
362	517	907
363	518	905
364	519	903
365	520	902
366	523	902
367	524	900
368	526	900
369	528	899
370	529	898
371	531	896
372	532	895
373	534	894
374	535	892
375	537	891
376	539	890
377	540	889
378	542	888
379	543	886
380	544	884
381	545	882
382	547	881
383	548	880
384	549	878
385	551	876
386	552	875
387	554	874
388	555	872
389	556	870
390	557	868
391	559	867
392	560	865
393	561	864
394	564	864
395	565	862
396	567	861
397	568	860
398	569	858
399	571	856
400	572	855
401	573	853
402	575	851
403	576	850
404	577	849
405	579	847
406	581	847
407	583	846
408	584	844
409	586	843
410	587	841
411	588	840
412	590	838
413	591	836
414	592	835
415	593	833
416	594	831
417	595	829
418	597	828
419	598	826
420	599	825
421	601	824
422	603	822
423	604	821
424	605	819
425	607	818
426	609	817
427	610	815
428	611	814
429	613	812
430	614	811
431	617	812
432	619	810
433	620	809
434	621	807
435	622	805
436	624	804
437	625	802
438	626	801
439	628	799
440	629	798
441	631	797
442	632	795
443	633	793
444	635	792
445	636	790
446	637	789
447	639	787
448	640	785
449	642	784
450	643	783
451	644	781
452	646	780
453	647	778
454	648	776
455	649	775
456	651	773
457	652	771
458	661	779
459	662	777
460	663	776
461	665	775
462	667	773
463	668	772
464	669	770
465	671	769
466	672	767
467	673	766
468	675	764
469	676	762
470	677	761
471	679	759
472	680	758
473	681	756
474	683	755
475	684	753
476	685	751
477	686	750
478	688	748
479	689	746
480	690	745
481	692	744
482	693	742
483	695	741
484	696	740
485	698	738
486	699	736
487	700	735
488	703	734
489	704	733
490	706	732
491	707	730
492	709	729
493	710	727
494	711	726
495	713	724
496	714	723
497	716	722
498	718	721
499	721	721
500	723	720
501	725	719
502	726	717
503	728	716
504	729	715
505	730	713
506	731	711
507	737	713
508	738	712
509	741	712
510	743	711
511	745	710
512	746	708
513	748	707
514	749	706
515	752	705
516	756	707
517	759	706
518	760	705
519	762	703
520	763	702
521	765	700
522	767	700
523	769	698
524	770	697
525	771	695
526	773	694
527	774	692
528	775	690
529	777	689
530	778	688
531	780	686
532	781	684
533	782	683
534	784	681
535	785	679
536	786	678
537	788	677
538	789	675
539	791	673
540	792	672
541	793	670
542	795	669
543	796	667
544	798	666
545	799	665
546	801	663
547	802	661
548	803	660
549	804	658
550	806	656
551	807	655
552	808	653
553	810	652
554	811	650
555	812	648
556	814	647
557	815	646
558	817	644
559	818	643
560	819	641
561	820	639
562	822	638
563	823	636
564	825	635
565	826	633
566	827	632
567	829	630
568	830	629
569	831	627
570	833	625
571	834	624
572	835	622
573	837	621
574	838	619
575	839	618
576	841	616
577	842	615
578	843	613
579	845	612
580	846	610
581	847	608
582	849	607
583	850	605
584	851	604
585	853	602
586	854	601
587	855	599
588	857	598
589	858	596
590	859	594
591	860	593
592	862	591
593	863	590
594	864	588
595	866	587
596	867	585
597	869	584
598	870	582
599	871	581
600	872	579
601	874	578
602	875	576
603	877	575
604	878	573
605	880	572
606	881	570
607	883	569
608	885	568
609	886	566
610	888	565
611	889	563
612	890	562
613	892	561
614	894	559
615	895	558
616	897	556
617	898	555
618	900	554
619	901	552
620	903	551
621	905	550
622	906	548
623	908	547
624	909	545
625	910	544
626	912	542
627	913	541
628	915	539
629	916	538
630	917	536
631	919	535
632	920	533
633	922	532
634	924	531
635	926	530
636	928	528
637	929	527
638	930	525
639	932	524
640	933	522
641	934	521
642	936	519
643	937	518
644	938	516
645	940	515
646	941	513
647	942	512
648	944	510
649	945	509
650	946	507
651	948	505
652	949	504
653	950	502
654	951	501
655	953	500
656	955	498
657	956	497
658	957	495
659	959	494
660	960	492
661	961	491
662	963	489
663	964	488
664	965	486
665	967	485
666	968	483
667	969	481
668	970	480
669	972	478
670	973	477
671	975	475
672	976	474
673	977	472
674	979	471
675	980	470
676	982	468
677	983	467
678	984	465
679	986	464
