iter	Passed	Remaining
0	2	2671
1	5	2741
2	7	2549
3	9	2260
4	10	2072
5	11	1955
6	13	1867
7	14	1804
8	15	1753
9	17	1712
10	18	1674
11	20	1649
12	21	1630
13	22	1604
14	24	1586
15	25	1574
16	26	1558
17	28	1545
18	29	1531
19	31	1522
20	32	1508
21	33	1496
22	35	1487
23	36	1480
24	37	1471
25	39	1465
26	40	1457
27	41	1451
28	43	1447
29	44	1441
30	46	1438
31	47	1433
32	48	1429
33	50	1422
34	51	1416
35	52	1412
36	54	1410
37	55	1407
38	56	1403
39	58	1399
40	59	1395
41	61	1394
42	62	1393
43	64	1393
44	65	1392
45	66	1388
46	68	1387
47	69	1386
48	71	1383
49	72	1379
50	73	1375
51	75	1371
52	76	1367
53	77	1364
54	79	1361
55	80	1359
56	81	1356
57	83	1352
58	85	1356
59	86	1353
60	87	1349
61	89	1346
62	90	1344
63	91	1340
64	93	1338
65	94	1335
66	95	1332
67	97	1329
68	98	1326
69	99	1325
70	101	1322
71	102	1321
72	103	1318
73	105	1316
74	106	1314
75	107	1311
76	109	1308
77	110	1305
78	111	1302
79	113	1300
80	114	1297
81	115	1295
82	116	1292
83	118	1296
84	120	1293
85	121	1290
86	122	1288
87	124	1285
88	125	1284
89	126	1282
90	128	1279
91	129	1276
92	130	1274
93	131	1271
94	133	1270
95	134	1269
96	136	1268
97	137	1267
98	139	1265
99	140	1262
100	141	1260
101	142	1258
102	144	1255
103	145	1255
104	147	1253
105	148	1251
106	149	1249
107	151	1247
108	152	1245
109	153	1243
110	154	1240
111	156	1239
112	157	1236
113	158	1233
114	160	1231
115	161	1229
116	162	1228
117	164	1226
118	165	1227
119	167	1226
120	168	1225
121	170	1223
122	171	1222
123	172	1221
124	174	1219
125	175	1218
126	177	1217
127	178	1215
128	179	1214
129	181	1212
130	182	1210
131	183	1207
132	184	1205
133	186	1203
134	187	1201
135	188	1199
136	189	1196
137	191	1194
138	192	1192
139	193	1190
140	195	1188
141	196	1186
142	197	1184
143	198	1182
144	200	1180
145	201	1178
146	202	1176
147	204	1174
148	205	1172
149	206	1171
150	207	1169
151	209	1167
152	210	1165
153	211	1163
154	213	1161
155	214	1160
156	215	1158
157	216	1156
158	218	1155
159	219	1153
160	221	1153
161	222	1151
162	224	1150
163	225	1148
164	226	1147
165	228	1145
166	229	1144
167	230	1143
168	232	1141
169	233	1139
170	234	1137
171	235	1135
172	237	1134
173	238	1132
174	240	1132
175	241	1131
176	242	1129
177	244	1127
178	245	1125
179	246	1124
180	248	1122
181	249	1120
182	250	1119
183	252	1117
184	253	1115
185	254	1114
186	255	1112
187	257	1110
188	258	1108
189	259	1106
190	260	1105
191	262	1103
192	263	1101
193	264	1100
194	266	1098
195	267	1096
196	268	1094
197	269	1093
198	271	1091
199	272	1089
200	273	1088
201	275	1086
202	277	1090
203	279	1088
204	280	1087
205	281	1086
